TestNumber,Date,StartTime,EndTime,Duration(s),Program,Recipe,AtomAir,FanAir,FlowSP,Voltage,Speed,GunOpenTime,Humidity,Temperature,ImageFile
20,4/17/2026,2:51:40 PM,2:51:44 PM,4.58,2,0,0,0,50,0,800,50,,,
21,4/17/2026,2:51:49 PM,2:51:53 PM,4.14,2,0,0,0,50,0,800,50,,,
22,4/17/2026,2:53:35 PM,2:53:39 PM,4.20,1,0,0,0,50,0,100,500,,,
23,4/17/2026,2:53:46 PM,2:53:49 PM,3.94,1,0,0,0,50,0,100,1000,,,
24,4/17/2026,2:54:21 PM,2:54:26 PM,4.20,1,0,0,0,50,0,100,1000,,,
25,4/17/2026,2:54:42 PM,2:54:46 PM,4.14,3,0,0,0,50,0,100,1000,,,
26,4/17/2026,2:55:00 PM,2:55:04 PM,3.88,3,0,0,0,50,0,800,1000,,,
27,4/17/2026,2:55:14 PM,2:55:19 PM,4.20,3,0,0,0,50,0,800,1000,,,
28,4/17/2026,3:00:35 PM,3:00:39 PM,4.14,1,0,0,0,50,0,800,1000,,,
29,4/17/2026,3:00:44 PM,3:00:48 PM,3.94,2,0,0,0,50,0,800,1000,,,
30,4/17/2026,3:56:47 PM,3:56:52 PM,4.16,2,0,0,0,50,0,800,0,,,
31,4/17/2026,3:58:24 PM,3:58:28 PM,4.16,1,0,0,0,50,0,800,0,,,
32,4/17/2026,3:59:25 PM,3:59:29 PM,4.08,1,0,0,0,50,0,800,0,,,
33,4/17/2026,3:59:37 PM,3:59:42 PM,4.18,1,0,0,0,50,0,800,500,,,
34,4/17/2026,3:59:51 PM,3:59:55 PM,4.14,3,0,0,0,50,0,800,500,,,
35,4/17/2026,4:03:11 PM,4:03:15 PM,3.80,1,0,0,0,50,0,800,500,,,
36,4/17/2026,4:07:08 PM,4:07:12 PM,3.84,1,0,0,0,50,0,50,100,,,
37,4/17/2026,5:05:05 PM,5:05:09 PM,4.00,1,0,0,0,50,0,50,0,,,
38,4/17/2026,5:06:58 PM,5:07:03 PM,4.18,3,0,0,0,50,0,800,100,,,
39,4/17/2026,5:07:17 PM,5:07:20 PM,3.86,3,0,0,0,50,0,800,100,,,
40,4/17/2026,5:07:26 PM,5:07:30 PM,4.12,2,0,0,0,50,0,800,100,,,
41,4/17/2026,5:07:34 PM,5:07:38 PM,4.14,1,0,0,0,50,0,800,100,,,
42,4/17/2026,5:08:25 PM,5:08:28 PM,3.94,1,0,0,0,50,0,800,100,,,
43,4/20/2026,12:26:27 PM,12:26:31 PM,3.80,1,0,0,0,50,0,50,0,,,
44,4/20/2026,12:26:42 PM,12:26:47 PM,4.18,1,0,0,0,50,0,50,500,,,
45,4/20/2026,12:27:01 PM,12:27:05 PM,3.80,3,0,0,0,50,0,800,500,,,
46,4/20/2026,12:27:12 PM,12:27:17 PM,4.18,3,0,0,0,50,0,800,500,,,
47,4/20/2026,12:30:33 PM,12:30:37 PM,3.80,1,0,0,0,50,0,800,500,,,
48,4/20/2026,12:30:43 PM,12:30:48 PM,4.18,1,0,0,0,50,0,800,100,,,
49,4/20/2026,12:58:52 PM,12:58:56 PM,4.18,1,0,0,0,50,0,50,0,,,
50,4/20/2026,2:38:08 PM,2:38:13 PM,4.94,1,0,0,0,50,0,50,0,,,capture_202604202138013_prog1_recipe0.png
51,4/20/2026,2:59:59 PM,3:00:04 PM,4.94,2,0,5,5,50,0,800,150,,,capture_202604202159542_prog2_recipe0.png
52,4/20/2026,3:06:27 PM,3:06:32 PM,4.94,1,0,5,5,50,0,50,0,,,capture_202604202206206_prog1_recipe0.png
53,4/20/2026,3:42:01 PM,3:42:06 PM,5.12,1,0,0,0,50,0,50,0,,,11784
54,4/20/2026,3:47:21 PM,3:47:27 PM,5.24,1,0,0,0,50,0,50,0,,,11706
55,4/20/2026,4:05:10 PM,4:05:15 PM,4.94,1,0,0,0,50,0,50,0,,,11781
56,4/20/2026,4:05:50 PM,4:05:55 PM,4.94,3,0,0,0,50,0,800,500,,,11781
57,4/20/2026,4:06:28 PM,4:06:32 PM,4.94,2,0,0,5,50,0,800,500,,,11800
58,4/20/2026,4:06:47 PM,4:06:52 PM,4.94,2,0,0,5,50,0,800,500,,,11800
59,4/20/2026,4:10:36 PM,4:10:41 PM,4.94,1,0,0,5,50,0,800,500,,,11839
60,4/20/2026,4:36:50 PM,4:36:54 PM,3.80,2,0,0,0,50,0,800,500,,,11994
61,4/20/2026,4:37:00 PM,4:37:04 PM,3.80,2,0,0,0,50,0,800,500,,,11995
62,4/20/2026,4:37:11 PM,4:37:14 PM,3.42,1,0,0,0,50,0,800,500,,,11994
63,4/20/2026,4:37:27 PM,4:37:31 PM,3.42,1,0,0,0,50,0,800,200,,,11995
64,4/20/2026,4:37:36 PM,4:37:39 PM,3.04,1,0,0,0,50,0,800,0,,,11995
65,4/20/2026,4:37:43 PM,4:37:47 PM,3.43,1,0,0,0,50,0,800,100,,,12014
66,4/20/2026,4:37:53 PM,4:37:56 PM,3.42,1,0,0,0,50,0,800,200,,,12014
67,4/20/2026,4:40:04 PM,4:40:08 PM,3.42,1,0,0,0,50,0,800,200,,,12054
68,4/20/2026,4:40:12 PM,4:40:15 PM,3.42,1,0,0,0,50,0,800,200,,,12072
69,4/20/2026,4:40:26 PM,4:40:30 PM,3.42,1,0,0,0,50,0,800,100,,,12073
70,4/20/2026,4:40:55 PM,4:40:58 PM,3.04,1,0,40,20,50,0,800,100,,,12072
71,4/20/2026,4:43:12 PM,4:43:15 PM,3.04,1,0,40,20,50,0,800,100,,,12091
72,4/20/2026,4:44:54 PM,4:44:57 PM,3.04,1,0,40,20,50,0,800,100,,,12091
73,4/20/2026,4:45:09 PM,4:45:13 PM,3.42,2,0,40,20,50,0,800,100,,,12091
74,4/20/2026,4:46:14 PM,4:46:17 PM,3.04,1,0,40,20,50,0,800,100,,,12072
75,4/20/2026,4:46:23 PM,4:46:27 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
76,4/20/2026,4:46:33 PM,4:46:36 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
77,4/20/2026,4:46:43 PM,4:46:46 PM,3.42,1,0,40,20,50,0,800,1000,,,12073
78,4/20/2026,4:46:50 PM,4:46:53 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
79,4/20/2026,4:47:00 PM,4:47:04 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
80,4/20/2026,4:47:08 PM,4:47:12 PM,3.43,1,0,40,20,50,0,800,1000,,,12072
81,4/20/2026,4:47:51 PM,4:47:54 PM,3.42,1,0,40,20,50,0,800,1000,,,12092
82,4/20/2026,4:48:05 PM,4:48:08 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
83,4/20/2026,4:48:18 PM,4:48:21 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
84,4/20/2026,4:48:29 PM,4:48:32 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
85,4/20/2026,4:48:56 PM,4:48:59 PM,3.42,1,0,40,20,50,0,800,1000,,,12072
86,4/20/2026,4:49:37 PM,4:49:40 PM,3.04,1,0,40,20,50,0,800,100,,,12072
87,4/20/2026,4:53:41 PM,4:53:46 PM,5.32,1,0,40,20,50,0,800,100,,,12130
88,4/20/2026,4:55:58 PM,4:56:04 PM,5.32,1,0,40,20,50,0,50,100,,,12130
89,4/20/2026,4:58:00 PM,4:58:05 PM,5.32,1,0,40,20,50,0,50,100,,,12150
90,4/20/2026,5:01:46 PM,5:01:52 PM,5.44,1,0,40,20,50,0,50,100,12150,6599,capture_202604210001411_prog1_recipe0.png
91,4/20/2026,5:03:34 PM,5:03:39 PM,5.32,1,0,40,20,50,0,50,100,12170,6599,capture_202604210003283_prog1_recipe0.png
92,4/20/2026,5:05:51 PM,5:05:56 PM,5.32,1,0,40,20,50,0,50,1000,12286,6589,capture_202604210005450_prog1_recipe0.png
93,4/20/2026,5:06:13 PM,5:06:19 PM,5.32,1,0,40,20,50,0,50,1000,12189,6599,capture_202604210006070_prog1_recipe0.png
94,4/20/2026,5:06:34 PM,5:06:40 PM,5.31,1,0,40,20,50,0,50,1000,12170,6599,capture_202604210006283_prog1_recipe0.png
95,4/20/2026,5:07:31 PM,5:07:36 PM,5.32,1,0,40,20,50,0,50,1000,12150,6610,capture_202604210007238_prog1_recipe0.png
96,4/20/2026,5:08:17 PM,5:08:22 PM,5.32,1,0,40,20,50,0,50,1000,12150,6610,capture_202604210008090_prog1_recipe0.png
97,4/20/2026,5:09:10 PM,5:09:15 PM,5.32,1,0,40,20,50,0,50,1000,12169,6610,capture_202604210009040_prog1_recipe0.png
98,4/20/2026,5:10:05 PM,5:10:10 PM,5.32,1,0,40,20,50,0,50,100,12150,6610,capture_202604210009587_prog1_recipe0.png
99,4/20/2026,5:10:42 PM,5:10:47 PM,5.32,1,0,0,0,50,0,50,100,12169,6610,capture_202604210010359_prog1_recipe0.png
100,4/20/2026,5:11:57 PM,5:12:03 PM,5.32,1,0,0,20,50,0,50,100,12170,6610,capture_202604210011512_prog1_recipe0.png
101,4/20/2026,5:12:41 PM,5:12:46 PM,5.33,1,0,0,10,50,0,50,100,12169,6610,capture_202604210012353_prog1_recipe0.png
102,4/20/2026,5:15:38 PM,5:15:44 PM,5.32,1,0,0,0,50,0,50,100,12170,6610,capture_202604210015320_prog1_recipe0.png
103,4/20/2026,5:17:20 PM,5:17:24 PM,3.42,1,0,0,0,50,0,50,100,12170,6610,
104,4/20/2026,5:20:18 PM,5:20:21 PM,3.42,1,0,0,0,50,0,50,100,12189,6610,
105,4/20/2026,5:21:53 PM,5:21:56 PM,3.42,1,0,0,0,50,0,50,100,12170,6600,
106,4/20/2026,5:24:01 PM,5:24:04 PM,3.42,1,0,0,0,50,0,50,100,12189,6600,
107,4/20/2026,5:25:47 PM,5:25:50 PM,3.42,1,0,0,0,50,0,50,100,12189,6589,
108,4/20/2026,5:27:54 PM,5:27:57 PM,3.42,1,0,0,0,50,0,50,100,12209,6589,
109,4/20/2026,5:31:56 PM,5:32:02 PM,5.70,1,0,0,0,50,0,50,0,12210,6589,capture_202604210031552_prog1_recipe0.png
110,4/20/2026,5:32:10 PM,5:32:15 PM,4.18,1,0,0,0,50,0,50,0,12209,6589,capture_202604210032097_prog1_recipe0.png
111,4/20/2026,5:32:38 PM,5:32:42 PM,4.18,1,0,0,0,50,0,50,0,12209,6589,capture_202604210032370_prog1_recipe0.png
